PELAAJA,JOUKKUE,O,M,S,P,R,+,-,+/-,L,L%,kausi
Lallukka Ossi,Jymy,26,0,1,1,0,0,0,0,0,-,2021-2022
Hasu Rasmus,SPV,26,0,1,1,0,0,0,0,0,-,2021-2022
Laakso Markus,Happee,25,0,1,1,0,8,4,4,0,-,2021-2022
Sjöholm Mikko,Tiikerit,24,0,1,1,0,0,0,0,0,-,2021-2022
Kivilompolo Vinski,OLS,24,0,1,1,0,0,0,0,0,-,2021-2022
Toriseva Lassi,Classic,23,0,1,1,0,8,2,6,1,0.0,2021-2022
Tuomala Miro,KrP,19,0,1,1,0,6,5,1,0,-,2021-2022
Saari Arttu,Jymy,19,0,1,1,10,19,35,-16,20,0.0,2021-2022
Nyman Alexander,Oilers,14,0,1,1,2,15,15,0,4,0.0,2021-2022
Järvi Paavo,Karhut,12,0,1,1,0,6,17,-11,2,0.0,2021-2022
Tommila Aatu,Karhut,11,0,1,1,2,6,20,-14,15,0.0,2021-2022
Hytönen Tuukka,Steelers,10,0,1,1,2,2,11,-9,12,0.0,2021-2022
Virtanen Jasper,Jymy,7,0,1,1,2,1,5,-4,4,0.0,2021-2022
Väänänen Roni,OLS,5,0,1,1,0,1,3,-2,2,0.0,2021-2022
Aaltonen Julius,Steelers,4,0,1,1,2,6,13,-7,6,0.0,2021-2022
Sikiö Mio,Happee,2,0,1,1,0,2,2,0,0,-,2021-2022
Koskinen Joonas,TPS,21,1,0,1,0,5,11,-6,24,4.2,2021-2022
Lillas Didrik,Jymy,20,1,0,1,4,6,17,-11,19,5.3,2021-2022
Kangas Topias,Happee,20,1,0,1,0,8,5,3,10,10.0,2021-2022
Kareinen Miikka,Indians,19,1,0,1,0,7,10,-3,12,8.3,2021-2022
Junkkari Jonatan,Indians,17,1,0,1,0,9,10,-1,5,20.0,2021-2022
Tornberg Otso,OLS,13,1,0,1,28,11,13,-2,8,12.5,2021-2022
Haapaniemi Eero,SPV,10,1,0,1,0,2,6,-4,5,20.0,2021-2022
Summanen Miko,Oilers,8,1,0,1,2,1,1,0,3,33.3,2021-2022
Lindgren Aleksi,Tiikerit,5,1,0,1,0,1,11,-10,4,25.0,2021-2022
Koskinen Juho,TPS,4,1,0,1,0,2,3,-1,1,100.0,2021-2022
