PELAAJA,JOUKKUE,O,M,S,P,R,+,-,+/-,L,L%,kausi
Johansson Henri,KrP,31,32,25,57,2,102,57,45,124,25.8,2022-2023
Lund Joakim,ErVi,26,21,29,50,14,76,80,-4,196,10.7,2022-2023
Remes Christian,Indians,33,26,24,50,2,83,62,21,190,13.7,2022-2023
Hyvärinen Luukas,OLS,31,23,26,49,12,81,61,20,134,17.2,2022-2023
Astala Aaro,Oilers,27,24,25,49,8,95,32,63,176,13.6,2022-2023
Manninen Jami,Happee,33,23,25,48,14,93,73,20,196,11.7,2022-2023
Siekkinen Kaapo,Happee,33,34,13,47,14,97,51,46,158,21.5,2022-2023
Haveri Elmeri,Jymy,33,32,14,46,10,78,88,-10,255,12.5,2022-2023
Trekse Peteris,TPS,33,17,28,45,26,103,50,53,162,10.5,2022-2023
Laiti Niko,Happee,33,24,21,45,0,84,44,40,151,15.9,2022-2023
Salmi Markus,Happee,32,26,19,45,14,97,44,53,216,12.0,2022-2023
Lastikka Ville,Classic,24,20,24,44,2,81,36,45,158,12.7,2022-2023
Salin Eemeli,Classic,23,26,18,44,10,73,35,38,175,14.9,2022-2023
Sieppi Joni-Arttu,OLS,31,29,15,44,6,75,65,10,198,14.6,2022-2023
Kovanen Joonatan,KrP,31,26,17,43,8,101,61,40,164,15.9,2022-2023
Haukkala Konsta,SPV,33,31,12,43,24,99,57,42,215,14.4,2022-2023
Koski Sami,SPV,32,8,34,42,4,65,31,34,93,8.6,2022-2023
Hankkio Jari,Jymy,30,22,20,42,22,69,52,17,226,9.7,2022-2023
Rosendahl Tommi,ErVi,26,17,23,40,2,72,76,-4,105,16.2,2022-2023
Hakanen Riku,Jymy,24,23,17,40,6,69,63,6,172,13.4,2022-2023
Koskinen Albert,Classic,33,25,15,40,10,85,40,45,190,13.2,2022-2023
Vesterinen Waltteri,TPS,29,14,24,38,10,75,31,44,117,12.0,2022-2023
Heikkilä Oskari,Classic,33,15,23,38,6,81,52,29,136,11.0,2022-2023
Jonaeson Nico,KrP,31,17,20,37,8,96,48,48,104,16.3,2022-2023
Niemelä Jere,TPS,25,20,17,37,18,80,41,39,147,13.6,2022-2023
Markkola Markus,Oilers,26,19,17,36,12,63,31,32,104,18.3,2022-2023
Sipronen Markus,Happee,33,10,23,33,4,92,58,34,89,11.2,2022-2023
Ahola Juuso,KrP,30,19,14,33,6,67,35,32,112,17.0,2022-2023
Kinnunen Teuvo,Happee,30,17,15,32,2,50,24,26,123,13.8,2022-2023
Karvonen Valte,OLS,30,17,15,32,2,73,57,16,86,19.8,2022-2023
Iiskola Tuomas,Oilers,28,16,15,31,14,75,34,41,126,12.7,2022-2023
Viitakoski Valtteri,KrP,33,22,9,31,2,71,47,24,119,18.5,2022-2023
Kinnunen Olli,OLS,31,22,9,31,8,85,82,3,127,17.3,2022-2023
Laitila Alpo,Classic,33,6,24,30,6,72,48,24,54,11.1,2022-2023
Laine Olli-Akseli,TPS,33,11,19,30,14,83,37,46,120,9.2,2022-2023
Einiö Niko,LASB,33,25,5,30,12,68,83,-15,236,10.6,2022-2023
Havula Tatu,LASB,32,13,16,29,4,68,98,-30,99,13.1,2022-2023
Minkkinen Matti,Happee,28,18,11,29,2,62,37,25,144,12.5,2022-2023
Ollikainen Aaro,FBC,32,20,9,29,16,54,97,-43,140,14.3,2022-2023
Junnila Samuli,Indians,29,8,19,27,10,59,47,12,130,6.2,2022-2023
Huppunen Jesse-Samuli,Indians,33,11,16,27,6,93,74,19,107,10.3,2022-2023
Auvinen Jasper,Indians,23,17,10,27,6,57,41,16,131,13.0,2022-2023
Laaksonen Nikolas,FBC,33,10,16,26,10,66,115,-49,109,9.2,2022-2023
Surakka Joonatan,LASB,31,10,16,26,6,57,90,-33,121,8.3,2022-2023
Lindfors Santeri,Oilers,33,15,11,26,10,58,55,3,103,14.6,2022-2023
Pelto-Arvo Jukka-Pekka,SPV,32,18,8,26,4,63,54,9,104,17.3,2022-2023
Tykkyläinen Konsta,Classic,33,19,7,26,8,75,49,26,129,14.7,2022-2023
Äijälä Niklas,Jymy,33,13,12,25,2,61,60,1,68,19.1,2022-2023
Ojala Tuomas,TPS,33,14,11,25,6,77,40,37,96,14.6,2022-2023
Kainulainen Valtteri,Indians,30,15,10,25,0,56,60,-4,123,12.2,2022-2023
Laasonen Roni,Happee,33,17,8,25,12,65,45,20,125,13.6,2022-2023
Majer Petr,Indians,31,18,7,25,0,46,27,19,138,13.0,2022-2023
Juuti Jasper,LASB,29,12,12,24,10,51,66,-15,158,7.6,2022-2023
Veikkola Matias,Oilers,32,13,11,24,4,123,68,55,67,19.4,2022-2023
Kauppinen Pyry,FBC,21,13,11,24,30,37,60,-23,123,10.6,2022-2023
Sillanpää Oliver,ErVi,22,16,8,24,6,49,68,-19,122,13.1,2022-2023
Keskinen Juuso,SPV,32,18,6,24,14,65,44,21,174,10.3,2022-2023
Moilanen Mika,ErVi,16,19,5,24,4,40,34,6,86,22.1,2022-2023
Suomela Antti,Oilers,32,9,14,23,2,114,60,54,63,14.3,2022-2023
Hirvisuo Ville,TPS,32,9,14,23,10,87,56,31,81,11.1,2022-2023
Auranen Leevi,Indians,30,13,10,23,0,60,62,-2,107,12.1,2022-2023
Salokangas Tiitus,LASB,24,14,9,23,16,45,46,-1,107,13.1,2022-2023
Krumins Morics,KrP,29,9,13,22,10,85,52,33,77,11.7,2022-2023
Sikkinen Eetu,Classic,23,9,12,21,8,62,34,28,56,16.1,2022-2023
Paulaharju Simo,KrP,31,11,10,21,4,39,22,17,75,14.7,2022-2023
Välitalo Anssi,OLS,33,8,12,20,2,51,69,-18,44,18.2,2022-2023
Harjula Tuomas,Indians,33,8,12,20,2,53,56,-3,40,20.0,2022-2023
Salminen Toni,Classic,33,10,10,20,2,76,55,21,67,14.9,2022-2023
Hyrkkönen Kim,KrP,32,13,7,20,12,44,33,11,71,18.3,2022-2023
Karjanlahti Eero,SPV,33,15,5,20,16,48,49,-1,101,14.9,2022-2023
Suhanto Eppu,Happee,33,4,15,19,4,78,54,24,106,3.8,2022-2023
Arkkila Olli,KrP,31,9,10,19,14,55,32,23,58,15.5,2022-2023
Forsman Juuso,FBC,24,9,10,19,10,44,68,-24,153,5.9,2022-2023
Koljonen Perttu,Happee,32,10,9,19,2,60,49,11,128,7.8,2022-2023
Pasanen Rasmus,Indians,23,10,9,19,16,54,37,17,70,14.3,2022-2023
Eklund Alex,ErVi,30,12,7,19,2,20,38,-18,76,15.8,2022-2023
Hietaranta Ville,Classic,31,14,5,19,2,41,26,15,71,19.7,2022-2023
Mäenpää Matias,Jymy,31,15,4,19,4,46,52,-6,109,13.8,2022-2023
Kekki Juuso,Indians,31,7,11,18,4,37,28,9,85,8.2,2022-2023
Lokasaari Aapo,SPV,33,11,7,18,2,72,50,22,105,10.5,2022-2023
Tenhonen Daniel,ErVi,33,14,4,18,10,32,74,-42,83,16.9,2022-2023
Niemelä Oliver,FBC,27,14,4,18,4,22,39,-17,107,13.1,2022-2023
Ijäs Eetu,OLS,31,6,11,17,18,61,66,-5,75,8.0,2022-2023
Alatalo Pieti,Indians,33,7,10,17,10,44,27,17,61,11.5,2022-2023
Niskanen Sami,Indians,30,9,8,17,8,36,47,-11,42,21.4,2022-2023
Lamminen Kristian,Oilers,30,9,8,17,6,33,24,9,101,8.9,2022-2023
Tuononen verneri,FBC,25,13,4,17,10,27,59,-32,78,16.7,2022-2023
Vänttilä Kimi,OLS,20,3,13,16,4,44,40,4,32,9.4,2022-2023
Lindfors Jesperi,Oilers,33,5,11,16,10,65,49,16,58,8.6,2022-2023
Palvaila Lauri,LASB,33,6,10,16,2,54,91,-37,64,9.4,2022-2023
Arola Jesse,LASB,32,9,7,16,4,36,64,-28,90,10.0,2022-2023
Uusi-Laitila Santeri,SPV,33,5,10,15,8,67,48,19,80,6.3,2022-2023
Harjula Eero,Indians,33,6,9,15,2,37,41,-4,73,8.2,2022-2023
Tammiranta Aaro,SPV,26,6,9,15,10,23,30,-7,45,13.3,2022-2023
Niemelä Petri,OLS,30,7,8,15,6,30,32,-2,51,13.7,2022-2023
Salo Nico,Classic,19,7,8,15,2,56,28,28,61,11.5,2022-2023
Autio Janne,SPV,33,8,7,15,2,44,55,-11,44,18.2,2022-2023
Parviainen Valtteri,OLS,24,8,7,15,0,45,33,12,89,9.0,2022-2023
Perälä Niko-Arttu,Jymy,29,9,6,15,30,46,60,-14,57,15.8,2022-2023
Vaajala Matias,Classic,32,10,5,15,2,44,22,22,66,15.2,2022-2023
Kuusela Ville-Pertti,SPV,33,15,0,15,4,43,44,-1,70,21.4,2022-2023
Wikstedt Olli,OLS,28,3,11,14,4,54,73,-19,60,5.0,2022-2023
Stenfors Lauri,TPS,32,7,7,14,6,68,54,14,34,20.6,2022-2023
Sariola Eetu,Jymy,32,8,6,14,30,70,71,-1,129,6.2,2022-2023
Ukkonen Eemil,KrP,31,2,11,13,8,62,49,13,37,5.4,2022-2023
Järvikangas Viljami,Jymy,28,2,11,13,14,49,60,-11,26,7.7,2022-2023
Kukkola Jani,ErVi,29,5,8,13,6,67,84,-17,89,5.6,2022-2023
Akola Eemeli,Classic,33,6,7,13,12,72,51,21,37,16.2,2022-2023
Juuranto Matias,Oilers,32,6,7,13,14,23,37,-14,74,8.1,2022-2023
Hoikkanen Janne,TPS,14,7,6,13,2,29,14,15,35,20.0,2022-2023
Pietinen Matias,LASB,33,8,5,13,10,29,41,-12,57,14.0,2022-2023
Alatorvinen Joona,ErVi,33,8,5,13,2,29,40,-11,56,14.3,2022-2023
Ruonakangas Riku,OLS,28,8,5,13,8,31,45,-14,83,9.6,2022-2023
Rauhala Jani,Indians,24,8,5,13,16,49,42,7,80,10.0,2022-2023
Sulander Jere,LASB,31,10,3,13,0,20,34,-14,57,17.5,2022-2023
Junkkarinen Jonne,Happee,32,3,9,12,6,88,60,28,44,6.8,2022-2023
Tuominen Sami,FBC,27,3,9,12,0,31,63,-32,63,4.8,2022-2023
Tenhonen Benjamin,ErVi,33,5,7,12,4,27,62,-35,45,11.1,2022-2023
Saari Arttu,Jymy,32,5,7,12,18,52,70,-18,44,11.4,2022-2023
Heikkinen Juuso,Happee,31,6,6,12,8,30,36,-6,35,17.1,2022-2023
Laine Lauri,FBC,30,8,4,12,4,38,96,-58,77,10.4,2022-2023
Storgårds Erik,TPS,33,3,8,11,10,76,41,35,31,9.7,2022-2023
Karjanlahti Eemeli,Jymy,16,5,6,11,0,29,28,1,36,13.9,2022-2023
Kilpi Otto,Classic,26,7,4,11,8,33,23,10,51,13.7,2022-2023
Heikkilä Jeri,SPV,32,8,3,11,0,46,40,6,63,12.7,2022-2023
Santanen Mikko,SPV,33,3,7,10,0,48,64,-16,28,10.7,2022-2023
Latvala Miika,SPV,33,3,7,10,14,42,53,-11,53,5.7,2022-2023
Virrankari Olli-Matti,OLS,33,4,6,10,24,49,64,-15,30,13.3,2022-2023
Pylväläinen Arttu,Happee,33,7,3,10,8,33,25,8,43,16.3,2022-2023
Lindholm Joonatan,Indians,31,8,2,10,26,54,65,-11,62,12.9,2022-2023
Rautio Petro,Jymy,33,0,9,9,0,44,60,-16,21,0.0,2022-2023
Laitinen Patrik,ErVi,33,2,7,9,4,32,68,-36,42,4.8,2022-2023
Mäkinen Miska,KrP,11,2,7,9,0,26,13,13,9,22.2,2022-2023
Harle Teemu,OLS,29,3,6,9,2,36,70,-34,58,5.2,2022-2023
Lillas Didrik,SPV,33,4,5,9,0,24,29,-5,40,10.0,2022-2023
Leikkanen Mikko,Classic,12,4,5,9,0,36,18,18,28,14.3,2022-2023
Hakola Jesper,OLS,23,5,4,9,8,18,33,-15,42,11.9,2022-2023
Roth Anton,Indians,32,6,3,9,8,18,16,2,38,15.8,2022-2023
Hakala Tommi,Jymy,33,7,2,9,0,26,66,-40,55,12.7,2022-2023
Lindstedt Tino,LASB,33,1,7,8,6,43,69,-26,16,6.3,2022-2023
Pentikäinen Miikka,LASB,20,1,7,8,4,26,30,-4,17,5.9,2022-2023
Puolakka Joni,LASB,21,2,6,8,0,26,39,-13,11,18.2,2022-2023
Hoikkala Jussi,FBC,32,3,5,8,8,38,86,-48,68,4.4,2022-2023
Havia Aleksi,FBC,32,3,5,8,8,41,91,-50,35,8.6,2022-2023
Vuoristo Santtu,ErVi,30,3,5,8,2,28,50,-22,37,8.1,2022-2023
Pekari Elias,Oilers,32,4,4,8,6,19,18,1,37,10.8,2022-2023
Hopeanaula Antti,FBC,33,5,3,8,6,33,81,-48,42,11.9,2022-2023
Puntanen Eetu,Jymy,30,5,3,8,6,26,58,-32,58,8.6,2022-2023
Möttönen Juuso,ErVi,31,6,2,8,0,21,39,-18,43,14.0,2022-2023
Talvitie Ilari,Oilers,29,7,1,8,4,36,23,13,69,10.1,2022-2023
Ailio Tuure,Oilers,29,1,6,7,4,27,27,0,41,2.4,2022-2023
Ahokas Aleksi,TPS,10,1,6,7,0,12,13,-1,14,7.1,2022-2023
Hautamäki Jaakko,TPS,33,2,5,7,2,18,23,-5,15,13.3,2022-2023
Pulkkinen Jere,Classic,20,2,5,7,0,20,16,4,13,15.4,2022-2023
Virtanen Viljami,Classic,17,2,5,7,0,20,14,6,11,18.2,2022-2023
Molkka Valtteri,Classic,32,3,4,7,0,11,11,0,19,15.8,2022-2023
Karkulowski Emil,LASB,23,3,4,7,0,14,20,-6,15,20.0,2022-2023
Siira Elias,FBC,19,3,4,7,4,21,47,-26,33,9.1,2022-2023
Turula Veli-Pekka,ErVi,28,4,3,7,2,27,50,-23,65,6.2,2022-2023
Karjula Joona,OLS,12,5,2,7,0,12,9,3,29,17.2,2022-2023
Heiska Ville,Happee,12,6,1,7,0,8,8,0,30,20.0,2022-2023
Wiander Tommi,Happee,30,0,6,6,6,27,34,-7,20,0.0,2022-2023
Mattila Jere,KrP,23,0,6,6,6,50,42,8,47,0.0,2022-2023
Aarela Ilmari,Happee,32,2,4,6,4,23,25,-2,42,4.8,2022-2023
Huppunen Julius-Emil,FBC,6,2,4,6,2,14,20,-6,19,10.5,2022-2023
Alkki Lauri,KrP,33,3,3,6,4,61,53,8,26,11.5,2022-2023
Lamminen Janne,Classic,22,3,3,6,6,40,43,-3,38,7.9,2022-2023
Harmaala Aatu,LASB,14,3,3,6,26,9,10,-1,29,10.3,2022-2023
Pöyhtäri Akseli,OLS,6,3,3,6,0,7,5,2,13,23.1,2022-2023
Repo Juho,SPV,28,4,2,6,0,17,31,-14,43,9.3,2022-2023
Vaarala Kalle,Jymy,26,4,2,6,10,22,50,-28,65,6.2,2022-2023
Koskinen Joonas,TPS,22,4,2,6,0,12,14,-2,28,14.3,2022-2023
Salokangas Julius,LASB,24,5,1,6,4,16,30,-14,34,14.7,2022-2023
Wikström Roope,LASB,31,6,0,6,4,19,43,-24,29,20.7,2022-2023
Karjalainen Aki,Jymy,31,0,5,5,0,0,1,-1,0,-,2022-2023
Hirsikorpi Mika,OLS,29,1,4,5,6,9,33,-24,24,4.2,2022-2023
Viitanen Joonas,FBC,32,2,3,5,6,24,67,-43,47,4.3,2022-2023
Jalonen Ossi,ErVi,30,2,3,5,4,66,86,-20,64,3.1,2022-2023
Raappana Atte,LASB,26,2,3,5,4,23,35,-12,25,8.0,2022-2023
Juselius Marko,Oilers,26,2,3,5,4,30,25,5,59,3.4,2022-2023
Koivisto Lassi,ErVi,22,2,3,5,2,19,27,-8,37,5.4,2022-2023
Salonen Janne,EräViikingit,20,2,3,5,4,24,33,-9,18,11.1,2022-2023
Kallio Matias,FBC,29,3,2,5,4,14,42,-28,42,7.1,2022-2023
Jaanus Janne,LASB,25,3,2,5,0,30,47,-17,25,12.0,2022-2023
Forss Onni,Indians,19,3,2,5,2,26,18,8,12,25.0,2022-2023
Liponen Saku,ErVi,30,4,1,5,4,13,33,-20,28,14.3,2022-2023
Mertaniemi Väinö,OLS,21,5,0,5,4,16,35,-19,31,16.1,2022-2023
Koivisto Veeti,OLS,17,5,0,5,4,7,9,-2,30,16.7,2022-2023
Virolainen Luukas,OLS,11,5,0,5,0,14,24,-10,27,18.5,2022-2023
Sokka Miikka,TPS,10,0,4,4,0,20,12,8,8,0.0,2022-2023
Simonen Topias,KrP,31,1,3,4,2,29,20,9,28,3.6,2022-2023
Viitala Lauri,Happee,30,1,3,4,6,12,16,-4,13,7.7,2022-2023
Hiltunen Aleksi,FBC,30,1,3,4,6,17,58,-41,22,4.5,2022-2023
Heiskanen Joona,FBC,28,1,3,4,6,6,33,-27,39,2.6,2022-2023
Hämäläinen Miika,FBC,26,1,3,4,2,14,40,-26,22,4.5,2022-2023
Järvinen Perttu,ErVi,20,1,3,4,2,26,38,-12,33,3.0,2022-2023
Lintula Matias,SPV,33,2,2,4,8,33,46,-13,26,7.7,2022-2023
Koistinen Eero,ErVi,16,2,2,4,0,10,11,-1,23,8.7,2022-2023
Kukko Joona,Jymy,7,2,2,4,4,14,15,-1,14,14.3,2022-2023
Jokela Olli,Oilers,28,3,1,4,4,16,22,-6,42,7.1,2022-2023
Kaltiainen Joonas,Oilers,33,0,3,3,4,0,0,0,1,0.0,2022-2023
Hämäläinen Petteri,Jymy,32,0,3,3,4,17,39,-22,25,0.0,2022-2023
Rodas Joel,FBC,28,0,3,3,2,18,42,-24,26,0.0,2022-2023
Eklund Emil,KrP,28,0,3,3,0,11,11,0,8,0.0,2022-2023
Vaarimo Miko,ErVi,5,0,3,3,0,7,15,-8,11,0.0,2022-2023
Kauppila Oskari,Jymy,31,1,2,3,8,4,32,-28,24,4.2,2022-2023
Lehtonen Konsta,LASB,25,1,2,3,4,8,26,-18,23,4.3,2022-2023
Maksimainen Olli,ErVi,21,1,2,3,4,9,25,-16,16,6.3,2022-2023
Jäppinen Amos,Indians,16,1,2,3,4,10,8,2,9,11.1,2022-2023
Kuoksa Antti,OLS,7,1,2,3,2,9,6,3,3,33.3,2022-2023
Hirvisuo Heikki,TPS,27,2,1,3,4,20,22,-2,19,10.5,2022-2023
Lintunen Teemu,FBC,26,2,1,3,0,9,28,-19,16,12.5,2022-2023
Tiira Lauri,OLS,24,2,1,3,8,26,52,-26,28,7.1,2022-2023
Suominen Marius,TPS,19,2,1,3,2,5,7,-2,13,15.4,2022-2023
Rantaniemi Aapo,OLS,16,2,1,3,4,18,40,-22,23,8.7,2022-2023
Markkula Tuomas,Oilers,12,2,1,3,0,5,0,5,5,40.0,2022-2023
Haapala Arttu,Oilers,9,2,1,3,0,7,3,4,13,15.4,2022-2023
Hasu Rasmus,SPV,32,0,2,2,2,0,0,0,0,-,2022-2023
Pohjonen Santtu,LASB,29,0,2,2,0,0,0,0,0,-,2022-2023
Rannanjärvi Jaakko,FBC,28,0,2,2,4,7,41,-34,31,0.0,2022-2023
Kotovaara Lassi,Happee,21,0,2,2,2,5,6,-1,8,0.0,2022-2023
Haataja Elias,TPS,9,0,2,2,0,2,2,0,5,0.0,2022-2023
Varjokumpu Juuso,TPS,33,1,1,2,0,10,15,-5,18,5.6,2022-2023
Honkaniemi Miikka,Jymy,31,1,1,2,0,7,33,-26,21,4.8,2022-2023
Koistinen Jere,KrP,28,1,1,2,0,4,12,-8,21,4.8,2022-2023
Tenho Oskari,KrP,17,1,1,2,0,4,3,1,8,12.5,2022-2023
Nurminen Janne,TPS,11,1,1,2,2,10,13,-3,7,14.3,2022-2023
Virtanen Jasper,Jymy,25,2,0,2,10,11,29,-18,15,13.3,2022-2023
Toriseva Lassi,Classic,32,0,1,1,12,0,0,0,1,0.0,2022-2023
Laakso Markus,Happee,31,0,1,1,14,0,0,0,1,0.0,2022-2023
Beijar Jens,FBC,31,0,1,1,0,0,0,0,0,-,2022-2023
Pollari Miika,Jymy,27,0,1,1,2,19,41,-22,10,0.0,2022-2023
Sillantaka Aleksi,FBC,25,0,1,1,0,0,0,0,1,0.0,2022-2023
Ranki Ville,LASB,25,0,1,1,2,9,23,-14,2,0.0,2022-2023
Kimpanpää Miika,Classic,18,0,1,1,0,8,11,-3,5,0.0,2022-2023
Helin Niilo,Classic,18,0,1,1,0,8,15,-7,6,0.0,2022-2023
Pensikkala Jarno,LASB,17,0,1,1,0,1,1,0,6,0.0,2022-2023
Niemelä Eetu,Oilers,16,0,1,1,0,1,5,-4,3,0.0,2022-2023
Koskinen Valtteri,TPS,15,0,1,1,2,4,3,1,5,0.0,2022-2023
Tuominen Niklas,ErVi,10,0,1,1,0,3,7,-4,3,0.0,2022-2023
Helin Vilho,Classic,10,0,1,1,4,9,3,6,14,0.0,2022-2023
Tiira Matias,OLS,5,0,1,1,0,4,6,-2,5,0.0,2022-2023
Nykänen Eetu,Indians,5,0,1,1,0,3,2,1,4,0.0,2022-2023
Honkonen Arttu,SPV,31,1,0,1,2,5,12,-7,7,14.3,2022-2023
Summanen Miko,Oilers,19,1,0,1,2,2,9,-7,7,14.3,2022-2023
Kareinen Miikka,Indians,17,1,0,1,4,10,11,-1,15,6.7,2022-2023
Tähkä Kasper,Happee,12,1,0,1,2,8,4,4,11,9.1,2022-2023
Rantala Leevi,Oilers,10,1,0,1,0,0,0,0,5,20.0,2022-2023
Vänttinen Oliver,Classic,7,1,0,1,0,2,3,-1,3,33.3,2022-2023
Sillanpää Oskar,Classic,33,0,0,0,4,0,0,0,0,-,2022-2023
Lallukka Ossi,ErVi,33,0,0,0,0,0,0,0,0,-,2022-2023
Kuisma Olli,TPS,33,0,0,0,0,0,0,0,0,-,2022-2023
Kantonen Kasperi,TPS,33,0,0,0,2,3,6,-3,19,0.0,2022-2023
Jokisalo Juuso,Indians,33,0,0,0,0,0,1,-1,0,-,2022-2023
Kivilompolo Vinski,OLS,32,0,0,0,0,0,0,0,0,-,2022-2023
Tuononen Roni,OLS,31,0,0,0,0,0,0,0,1,0.0,2022-2023
Nordström Niko,Oilers,31,0,0,0,0,0,0,0,0,-,2022-2023
Fälden Oskari,TPS,31,0,0,0,0,0,0,0,0,-,2022-2023
Sipilä Nemo,ErVi,30,0,0,0,0,0,0,0,0,-,2022-2023
Jääskeläinen Pietari,Happee,30,0,0,0,0,0,0,0,1,0.0,2022-2023
Järvinen Pasi,LASB,28,0,0,0,0,0,0,0,0,-,2022-2023
Saarinen Miki,KrP,27,0,0,0,0,0,0,0,1,0.0,2022-2023
Kirvesniemi Mikko,Indians,27,0,0,0,0,0,0,0,1,0.0,2022-2023
Savela Juho,OLS,26,0,0,0,0,11,19,-8,3,0.0,2022-2023
Honko Valtteri,Jymy,26,0,0,0,0,0,0,0,1,0.0,2022-2023
Kronqvist Anton,SPV,25,0,0,0,0,0,0,0,0,-,2022-2023
Koskinen Juho,TPS,23,0,0,0,4,2,8,-6,10,0.0,2022-2023
Kettunen Kaapo,KrP,23,0,0,0,24,0,0,0,0,-,2022-2023
Laukkanen Jarno,KrP,20,0,0,0,0,10,7,3,7,0.0,2022-2023
woivalin juuso,Classic,19,0,0,0,0,2,5,-3,1,0.0,2022-2023
Tiainen Tuomas,Indians,19,0,0,0,0,4,3,1,4,0.0,2022-2023
Kuisma Niklas,Happee,19,0,0,0,0,1,1,0,0,-,2022-2023
Kerola Jacob,ErVi,19,0,0,0,0,14,24,-10,15,0.0,2022-2023
Soininen Mirko,Jymy,15,0,0,0,2,1,7,-6,6,0.0,2022-2023
Salonen Arttu,FBC,14,0,0,0,4,6,21,-15,8,0.0,2022-2023
Ainoa Luka,KrP,13,0,0,0,0,4,6,-2,3,0.0,2022-2023
Kortesluoma Jesse,Jymy,12,0,0,0,0,0,5,-5,4,0.0,2022-2023
Junkkari Jonatan,Indians,12,0,0,0,0,3,2,1,2,0.0,2022-2023
Tuomala Miro,KrP,11,0,0,0,0,0,0,0,0,-,2022-2023
Toropainen Santeri,Indians,10,0,0,0,0,1,3,-2,4,0.0,2022-2023
Pokela Matias,Jymy,10,0,0,0,0,0,0,0,0,-,2022-2023
Hallbäck Marek,FBC,10,0,0,0,0,0,0,0,0,-,2022-2023
Liukkonen Teppo,SPV,9,0,0,0,0,0,0,0,1,0.0,2022-2023
Ilmivalta Topias,Oilers,9,0,0,0,0,1,4,-3,0,-,2022-2023
Kallio Emil,Oilers,8,0,0,0,0,1,0,1,5,0.0,2022-2023
Huolman Luukas,ErVi,8,0,0,0,0,3,8,-5,5,0.0,2022-2023
Ahola Vili,LASB,7,0,0,0,2,3,11,-8,5,0.0,2022-2023
Helin Eemil,Oilers,6,0,0,0,0,0,3,-3,2,0.0,2022-2023
Vormisto Petteri,LASB,5,0,0,0,0,0,0,0,0,-,2022-2023
Nurmela Roni,Indians,5,0,0,0,0,0,0,0,0,-,2022-2023
Kulmala Kasper,TPS,5,0,0,0,0,0,3,-3,1,0.0,2022-2023
Siekkinen Paavo,Happee,4,0,0,0,0,1,0,1,6,0.0,2022-2023
Saarikko Sami,KrP,4,0,0,0,0,0,0,0,0,-,2022-2023
Niemi Lauri,OLS,4,0,0,0,0,2,2,0,0,-,2022-2023
Laine Valtteri,Happee,4,0,0,0,0,0,0,0,0,-,2022-2023
